date,decision,entry_time,entry_price,SL,TP,exit_time,exit_price,exit_reason,pnl_pts,pnl_usd,notes,pnl_usd_filled,equity,equity_peak,drawdown,year,month,equity_shift,cum_long,cum_short,cost_commission_usd,cost_spreadslip_usd,cost_total_usd,pnl_usd_net,equity_net,equity_net_peak,drawdown_net
2022-09-12,long,10:22,12739.159,12714.159,12814.159,10:41:00,12714.159,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,318559.2000000004,331864.8000000003,13305.59999999986,2022,9,320559.2000000004,61642.24000000031,156916.9600000001,0.0,60.0,60.0,-2060.0,284479.2000000004,300064.8000000003,15585.59999999986
2022-09-13,short,10:22,12288.329,12313.329,12213.329,10:51:00,12213.329,tp,75.0,6000.0,Conservative tie-break; checks start after entry bar.,6000.0,324559.2000000004,331864.8000000003,7305.59999999986,2022,9,318559.2000000004,61642.24000000031,162916.9600000001,0.0,60.0,60.0,5940.0,290419.2000000004,300064.8000000003,9645.59999999986
2022-09-14,none,10:22,12068.529,,,10:22,12068.529,no_trade,0.0,0.0,Middle zone at 10:22; no position.,0.0,324559.2000000004,331864.8000000003,7305.59999999986,2022,9,324559.2000000004,61642.24000000031,162916.9600000001,0.0,0.0,0.0,0.0,290419.2000000004,300064.8000000003,9645.59999999986
2022-09-15,none,10:22,12072.687,,,10:22,12072.687,no_trade,0.0,0.0,Middle zone at 10:22; no position.,0.0,324559.2000000004,331864.8000000003,7305.59999999986,2022,9,324559.2000000004,61642.24000000031,162916.9600000001,0.0,0.0,0.0,0.0,290419.2000000004,300064.8000000003,9645.59999999986
2022-09-16,long,10:22,11771.067,11746.067,11846.067,10:58:00,11746.067,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,322559.2000000004,331864.8000000003,9305.59999999986,2022,9,324559.2000000004,59642.24000000031,162916.9600000001,0.0,60.0,60.0,-2060.0,288359.2000000004,300064.8000000003,11705.59999999986
2022-09-19,none,10:22,11813.289,,,10:22,11813.289,no_trade,0.0,0.0,Middle zone at 10:22; no position.,0.0,322559.2000000004,331864.8000000003,9305.59999999986,2022,9,322559.2000000004,59642.24000000031,162916.9600000001,0.0,0.0,0.0,0.0,288359.2000000004,300064.8000000003,11705.59999999986
2022-09-20,none,10:22,11844.769,,,10:22,11844.769,no_trade,0.0,0.0,Middle zone at 10:22; no position.,0.0,322559.2000000004,331864.8000000003,9305.59999999986,2022,9,322559.2000000004,59642.24000000031,162916.9600000001,0.0,0.0,0.0,0.0,288359.2000000004,300064.8000000003,11705.59999999986
2022-09-21,none,10:22,11900.779,,,10:22,11900.779,no_trade,0.0,0.0,Middle zone at 10:22; no position.,0.0,322559.2000000004,331864.8000000003,9305.59999999986,2022,9,322559.2000000004,59642.24000000031,162916.9600000001,0.0,0.0,0.0,0.0,288359.2000000004,300064.8000000003,11705.59999999986
2022-09-22,short,10:22,11515.029,11540.029,11440.029,10:32:00,11540.029,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,320559.2000000004,331864.8000000003,11305.59999999986,2022,9,322559.2000000004,59642.24000000031,160916.9600000001,0.0,60.0,60.0,-2060.0,286299.2000000004,300064.8000000003,13765.59999999986
2022-09-23,short,10:22,11306.209,11331.209,11231.209,10:29:00,11331.209,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,318559.2000000004,331864.8000000003,13305.59999999986,2022,9,320559.2000000004,59642.24000000031,158916.9600000001,0.0,60.0,60.0,-2060.0,284239.2000000004,300064.8000000003,15825.59999999986
2022-09-26,long,10:22,11457.989,11432.989,11532.989,10:33:00,11432.989,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,316559.2000000004,331864.8000000003,15305.59999999986,2022,9,318559.2000000004,57642.24000000031,158916.9600000001,0.0,60.0,60.0,-2060.0,282179.2000000004,300064.8000000003,17885.59999999986
2022-09-27,short,10:22,11408.769,11433.769,11333.769,10:45:00,11433.769,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,314559.2000000004,331864.8000000003,17305.59999999986,2022,9,316559.2000000004,57642.24000000031,156916.9600000001,0.0,60.0,60.0,-2060.0,280119.2000000004,300064.8000000003,19945.59999999986
2022-09-28,long,10:22,11276.639,11251.639,11351.639,10:37:00,11351.639,tp,75.0,6000.0,Conservative tie-break; checks start after entry bar.,6000.0,320559.2000000004,331864.8000000003,11305.59999999986,2022,9,314559.2000000004,63642.24000000031,156916.9600000001,0.0,60.0,60.0,5940.0,286059.2000000004,300064.8000000003,14005.59999999986
2022-09-29,short,10:22,11131.759,11156.759,11056.759,10:52:00,11156.759,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,318559.2000000004,331864.8000000003,13305.59999999986,2022,9,320559.2000000004,63642.24000000031,154916.9600000001,0.0,60.0,60.0,-2060.0,283999.2000000004,300064.8000000003,16065.59999999986
2022-09-30,long,10:22,11181.739,11156.739,11256.739,11:04:00,11256.739,tp,75.0,6000.0,Conservative tie-break; checks start after entry bar.,6000.0,324559.2000000004,331864.8000000003,7305.59999999986,2022,9,318559.2000000004,69642.24000000031,154916.9600000001,0.0,60.0,60.0,5940.0,289939.2000000004,300064.8000000003,10125.59999999986
2022-10-03,long,10:22,11106.269,11081.269,11181.269,12:00:00,11122.539,time,16.270000000000437,1301.600000000035,Conservative tie-break; checks start after entry bar.,1301.600000000035,325860.80000000045,331864.8000000003,6003.999999999825,2022,10,324559.2000000004,70943.84000000035,154916.9600000001,0.0,60.0,60.0,1241.600000000035,291180.80000000045,300064.8000000003,8883.999999999825
2022-10-04,long,10:22,11579.279,11554.279,11654.279,12:00:00,11581.989,time,2.709999999999127,216.79999999993015,Conservative tie-break; checks start after entry bar.,216.79999999993015,326077.6000000004,331864.8000000003,5787.199999999895,2022,10,325860.80000000045,71160.64000000028,154916.9600000001,0.0,60.0,60.0,156.79999999993015,291337.6000000004,300064.8000000003,8727.199999999895
2022-10-05,short,10:22,11348.579,11373.579,11273.579,11:24:00,11373.579,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,324077.6000000004,331864.8000000003,7787.199999999895,2022,10,326077.6000000004,71160.64000000028,152916.9600000001,0.0,60.0,60.0,-2060.0,289277.6000000004,300064.8000000003,10787.199999999895
2022-10-06,short,10:22,11500.089,11525.089,11425.089,10:42:00,11525.089,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,322077.6000000004,331864.8000000003,9787.199999999895,2022,10,324077.6000000004,71160.64000000028,150916.9600000001,0.0,60.0,60.0,-2060.0,287217.6000000004,300064.8000000003,12847.199999999895
2022-10-07,short,10:22,11204.629,11229.629,11129.629,11:42:00,11129.629,tp,75.0,6000.0,Conservative tie-break; checks start after entry bar.,6000.0,328077.6000000004,331864.8000000003,3787.199999999895,2022,10,322077.6000000004,71160.64000000028,156916.9600000001,0.0,60.0,60.0,5940.0,293157.6000000004,300064.8000000003,6907.199999999895
2022-10-10,short,10:22,10975.899,11000.899,10900.899,10:27:00,11000.899,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,326077.6000000004,331864.8000000003,5787.199999999895,2022,10,328077.6000000004,71160.64000000028,154916.9600000001,0.0,60.0,60.0,-2060.0,291097.6000000004,300064.8000000003,8967.199999999895
2022-10-11,short,10:22,10765.819,10790.819,10690.819,10:33:00,10790.819,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,324077.6000000004,331864.8000000003,7787.199999999895,2022,10,326077.6000000004,71160.64000000028,152916.9600000001,0.0,60.0,60.0,-2060.0,289037.6000000004,300064.8000000003,11027.199999999895
2022-10-12,short,10:22,10760.569,10785.569,10685.569,10:25:00,10785.569,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,322077.6000000004,331864.8000000003,9787.199999999895,2022,10,324077.6000000004,71160.64000000028,150916.9600000001,0.0,60.0,60.0,-2060.0,286977.6000000004,300064.8000000003,13087.199999999895
